,ResponseId,Q12.6,Q12.6_corrected,city
2462,R_W1aVQw6M08mBIY1,I don't know ,I don't know ,London
2463,R_8wsziuwk7roGhnb,Yes,Yes,London
2464,R_3HOn5baplatcGgy,Various reasons ,Various reasons ,London
2465,R_ezCDEec2YDrjyE1,i chose the option with the least extra percent of population,I chose the option with the least extra percent of population,London
2466,R_3gYtovG3PScncIx,London,London,London
2467,R_eboiNQihasDj4gF,i hate gentrification and being surrounded by white hipsters with all their money from mummy and daddy,I hate gentrification and being surrounded by white hipsters with all their money from mummy and daddy,London
2468,R_3HigNDN2kEMsk0O,"Housing has become more about cramming people in for profit in what can ultimately be unsafe conditions (grenfell), this can be a problem with any type of investor. If we could put social housing in areas where there are less of the population ""the posh areas"" it would make more availability and also put an end to class division which has manifested in boroughs and areas.","Housing has become more about cramming people in for profit in what can ultimately be unsafe conditions (Grenfell), this can be a problem with any type of investor. If we could put social housing in areas where there are less of the population ""the posh areas"" it would make more availability and also put an end to class division which has manifested in boroughs and areas.",London
2469,R_27NklFH7UdtdxkM,"It needs to have no rent increase, have local resident input and not increase density too muxh","It needs to have no rent increase, have local resident input and not increase density too much",London
2470,R_1Os17AJrmIzeiLY,,,London
2471,R_3D22VOYNnuAcxRy,hghikk bghy jju,,London
2472,R_1pERY8dp1RinUNq,no reasons,no reasons,London
2473,R_12nBAoDg4x3nFg0,,,London
2474,R_eR1G4UY8jSFOjSh,i like them better and thought they would do better for the environment,I like them better and thought they would do better for the environment,London
2475,R_R8eRCA206lqUJZT,peeople should be free to diside for themselfs,people should be free to decide for themselves,London
2476,R_1QsTyE1jPeLFCvD,/,,London
2477,R_2SuHTxKI6XhoYwE,Good,Good,London
2478,R_3j8JT5NBVaFfIBP,I was looking more at affordable housing because that's the biggest issue in London ,I was looking more at affordable housing because that's the biggest issue in London ,London
2479,R_1Fx4WavnQdgDu2U,proposal 1 helps the community more with more apartments and fights against climate change,proposal 1 helps the community more with more apartments and fights against climate change,London
2480,R_2D7kurMnwT9NrOE,Cheaper living ,Cheaper living ,London
2481,R_zeBZ0f3jc4mLkxX,looks better and suits and affordable ,looks better and suits and affordable ,London
2482,R_3hzlKMaot1lwcrl,,,London
2483,R_2ROfQ3yicZM303k,To big density ,Too big density ,London
2484,R_4YhDZw6xvQnb625,,,London
2485,R_1gnHfSbId7RTwJI,,,London
2486,R_1GTRniwuaiyK3ex,Yes ok,Yes ok,London
2487,R_3r0Z5sKKXwekO2B,all rent should be increased whether private ir not,all rent should be increased whether private or not,London
2488,R_30eKn1xuaulxfEO,Because they were more practical and effective,Because they were more practical and effective,London
2489,R_2bJDNTZAZz7Mzbg,"Rent control was always a big decider for me, as were affordable housing options.","Rent control was always a big decider for me, as were affordable housing options.",London
2490,R_cJ5Qol6iNiCCkc9,I think affordable housing minimums will decrease the value of houses in the area ,I think affordable housing minimums will decrease the value of houses in the area ,London
2491,R_3M9er9RvnvdPZ5P,The overall increase and for profit,The overall increase and for profit,London
2492,R_poxSCEe3HgtVG25,There needs to be more affordable housing and there should be rent caps so people can feel some sense of security. Also I think people should be more involved in the infrastructure projects in their community.,There needs to be more affordable housing and there should be rent caps so people can feel some sense of security. Also I think people should be more involved in the infrastructure projects in their community.,London
2493,R_2wgez0NyVMxWz2q,i dk matey,Idk matey,London
2494,R_3FVZ6c5gkfH1KRj,All depends on how disruptive it will be to the local area ,All depends on how disruptive it will be to the local area ,London
2495,R_2t8jTeUYEq5olMJ,Very good ,Very good ,London
2496,R_9tdyitzr2r2PArL,Some proposals did not really seem convincing ,Some proposals did not really seem convincing ,London
2497,R_yQrv3vELzUToyVH,,,London
2498,R_ZJeR5QP6HF67iql,Helping the people ,Helping the people ,London
2499,R_2pW6d1lfFxh4nS5,I just want this neighbour hood to have good chemistry ,I just want this neighbourhood to have good chemistry ,London
2500,R_2CcPVgFfO6toP9D,I liked that residents can be involved as well as the rent staying low and affordable housing being provided,I liked that residents can be involved as well as the rent staying low and affordable housing being provided,London
2501,R_DwTZpyANhj0FhS1,I think it's important to increase housing without long term damage,I think it's important to increase housing without long term damage,London
2502,R_R9u9wt0CG2Ub7Rn,I'm not in favour of increased density as it may create more problems than solutions. Also I think it's important that the government or a non-profit organisation would make investments in these projects. Any for profit organisation may be inclined to neglect any concerns and issues tenants may have. ,I'm not in favour of increased density as it may create more problems than solutions. Also I think it's important that the government or a non-profit organisation would make investments in these projects. Any for profit organisation may be inclined to neglect any concerns and issues tenants may have. ,London
2503,R_3j7iLg4lhmgrO84,due to costs ,due to costs ,London
2504,R_2c8ynCByVodiTwY,None,None,London
2505,R_2rIrigV4bPB0TC3,Rttyyuu,,London
2506,R_2ve3UNwg14LccSU,Because they had better odds over the other one,Because they had better odds over the other one,London
2507,R_RwdEODg4i1UdtDj,I don't like when the government profits on these purposals. Also didn't want too many apartments in the area as it would put pressure on the resources around like GPs.,I don't like when the government profits on these proposals. Also didn't want too many apartments in the area as it would put pressure on the resources around like GPs.,London
2508,R_BWV4go81JZwjomR,I didn't like this survey,I didn't like this survey,London
2509,R_2Bajm2ND0CzUg3C,I would like low rent costs and a trusted landlord ,I would like low rent costs and a trusted landlord ,London
2510,R_DPt6FDwnrOG6Cml,I dont know,I dont know,London
2511,R_1BRhoEnFmzqC18P,yes,yes,London
2512,R_3j82aybIaToJTUQ,5ddjhfj,,London
2513,R_2dhB0ZLwBOgg1Lf,"The climate change factor, resident input and rent cap were the biggest things I looked for","The climate change factor, resident input and rent cap were the biggest things I looked for",London
2514,R_3nORjZnsgbOEqVC,Because of the drawbacks,Because of the drawbacks,London
2515,R_xyF5K25WYmxHZ6h,   ,   ,London
2516,R_1LtfkWwR7kAjb0e,,,London
2517,R_3kjGX1w45EQVlUf,yes ,yes ,London
2518,R_2CD0RFpOsUcnr5y,Nice,Nice,London
2519,R_2EuvUMQ2MUCLPRo,I found it unfair,I found it unfair,London
2520,R_qKhLsOpYwXPelMt,لأنهم فوس I think its best for the people ,I think its best for the people ,London
2521,R_DUmaMhbEiACoAOB,Nice,Nice,London
2522,R_2zZOghhAY9TM1JX,im not entirely sure,im not entirely sure,London
2523,R_1M3QLeKitEYmKil,Hdfnhf,,London
2524,R_PGTMKk6EaAVwEhz,Because when I red through them I found some of the propseld wrong ,Because when I read through them I found some of the proposals wrong ,London
2525,R_25LPSJTe7G4Lh8u,,,London
2526,R_reBjoetmfG4vZbb,Because I want the best for my city,Because I want the best for my city,London
2527,R_AuMswQzw0sycHiF,I can't recall,I can't recall,London
2528,R_6tKuvAD6rRfS9J7,,,London
2529,R_2dyGnSrh9PuwQaT,My view is the rent and the space of the apartnent,My view is the rent and the space of the apartnent,London
2530,R_30jVQUoDxCSc1kp,Don't know,Don't know,London
2531,R_w5ZoTzD0Z3r1u1P,Many people find it very difficult to pay rent so an increase in rent every year can lead to more homeless families with young children.,Many people find it very difficult to pay rent so an increase in rent every year can lead to more homeless families with young children.,London
2532,R_1KfGqWe3cimZWpl,,,London
2533,R_25RSUrJOHI3ujRO,I don't know,I don't know,London
2534,R_3hgXGAGqJciyrgQ,I like it more ,I like it more ,London
2535,R_9YUpKIWhSw0SqUF,i like some of the properties to go to persons on low income ,I like some of the properties to go to persons on low income ,London
2536,R_2R1FvLT7ANcATsv,,,London
2537,R_OvwxfmyXHoCg05r,They all seemed like decent and equal proposals ,They all seemed like decent and equal proposals ,London
2538,R_1n1NqTHWycc8X2C,I think rent should be capped,I think rent should be capped,London
2539,R_25T2CMEujwjy3UT,Because of additional costs,Because of additional costs,London
2540,R_25A84Zk5o7E5eEK,Because I am stating my own opinion and this is what I believe.,Because I am stating my own opinion and this is what I believe.,London
2541,R_1LT3nN589U8mWJf,I'm not to sure,I'm not too sure,London
2542,R_3W8AX69kpEv0MPD,,,London
2543,R_SHl5fGoeqmdBoM9,,,London
2544,R_2vYb7ofYF7drZv6,,,London
2545,R_3fiQ0bxHefdsiVh,,,London
2546,R_3KuXG9eMVJrxPyx,Development should not be for profit; density should be as low as possible; development should include more than apartments,Development should not be for profit; density should be as low as possible; development should include more than apartments,London
2547,R_0wiRxUyJz9hxW9P,I don't believe rent controls work.,I don't believe rent controls work.,London
2548,R_DFODSqTL7gjfzAR,,,London
2549,R_2SJ56XSyXmGpYwX,The increase in costs and environment issues,The increase in costs and environment issues,London
2550,R_yw16t0wZdzvvcRj,I prefer the option,I prefer the option,London
2551,R_2BxoTG15tHaW8mM,,,London
2552,R_1IcqN50m39suoFu,Wouldn't want to increase population in this area green spaces should be left ,Wouldn't want to increase population in this area. green spaces should be left ,London
2553,R_2YtEpG3WSWZbdCE,Just would ,Just would ,London
2554,R_2Y4X6LtM4kqmeZZ,I like buildings. ,I like buildings. ,London
2555,R_Z7ZwO9Hf4sj6vgl,,,London
2556,R_3aStCG0JOL1DNfj,Not sure,Not sure,London
2557,R_CdV3kTJKSn3H2Jb,Because I'm not in favour,Because I'm not in favour,London
2558,R_10uecSVavtv7qYR,Housing prices are becoming too high for some families with children to pay for,Housing prices are becoming too high for some families with children to pay for,London
2559,R_1jHgFIUsEgqt3NO,M,,London
2560,R_27aiJeGkXla180B,For a better living,For a better living,London
2561,R_1eV3Go58BKqcR9q,I don't know ,I don't know ,London
2562,R_3Pjke6nhSRaizm0,,,London
2563,R_3eb2Nu8TpPri1oJ,They fit my tastes better,They fit my tastes better,London
2564,R_3mfSx5H6fUorpUK,,,London
2565,R_2DY9bNPZVZ1lB1v,Proposal 2 is better for me,Proposal 2 is better for me,London
2566,R_2qr5ZHV1hnV2MLF,,,London
2567,R_3kct3gAplCLTvv1,,,London
2568,R_vJGfbppfO1ZbUWJ,none,none,London
2569,R_2DNZxka5xjxeQZJ,I do not agree,I do not agree,London
2570,R_1K7RpOnT7CoRLhm,I don't like certain features,I don't like certain features,London
2571,R_1H0EEWW4LrSVmye,No,No,London
2572,R_1otHhqNZBEW3bKz,nice ,nice ,London
2573,R_22RgpSl2Vfc3A8X,.,,London
2574,R_2AYFsYkLlY9sUln,,,London
2575,R_3OrKJW0KAX2sw5B,Sx,,London
2576,R_3F3QoRTCJ6XVzZi,N/a,N/a,London
2577,R_1IEPWfa8rvyToa2,,,London
2578,R_247WnPEFVuacIpV,,,London
2579,R_3RpGD0HzZCUnjYv,Because of the fact that the space and design,Because of the fact that the space and design,London
2580,R_31mzGxqbvolzZ3y,there should be importance on making sure there are areas for low income families to feel secure in without worrying about future rent costs ,there should be importance on making sure there are areas for low income families to feel secure in without worrying about future rent costs ,London
2581,R_vYUgY1jBOiB9zgZ,,,London
2582,R_1pn6E8WXeW2mXRj,vhhbbkkhh,,London
2583,R_12lscSlpJP5Oadb,,,London
2584,R_3D7nt6fTbgAOB6C,,,London
2585,R_2diQi0N4NkQMeBu,Small craft businesses are important for local community and the economy. Climate change should be considered when new buildings are being developed. There should be a rent increase cap as rent prices are too high for the average salary.,Small craft businesses are important for local community and the economy. Climate change should be considered when new buildings are being developed. There should be a rent increase cap as rent prices are too high for the average salary.,London
2586,R_31zpNQIOLrZMxQx,,,London
2587,R_2fIfW0w6AWVZmLC,Rent,Rent,London
2588,R_XuMcBl0F1JazFcZ,All the proposals were opitimal or different scenarios ,All the proposals were optimal for different scenarios ,London
2589,R_2OGOQ1YpTCYgVAl,Just how I feel ,Just how I feel ,London
2590,R_2rVkKD7iV5giULL,,,London
2591,R_OJ7P6Oh3SpJtR3r,,,London
2592,R_3dPRZy0rvspjsG4,because they considerd everyone ,because they considered everyone ,London
2593,R_yCn6IQm9pzh24kF,i don't want the government getting heavily involved in rent,I don't want the government getting heavily involved in rent,London
2594,R_1ZhMgiMhvbgNsI1,Double the population  would cause a massive strain on our facilities such as doctors etc ,Double the population would cause a massive strain on our facilities such as doctors etc ,London
2595,R_SOzbHNDf7p2wZ0Z,2 proposal seems generally better than one for the community ,2 proposal seems generally better than one for the community ,London
2596,R_1DYdlowIHbRcVfU,Jsut some time the cost of living is to much ,Just sometimes the cost of living is too much ,London
2597,R_1IAUsHZbwr41GDo,Their usage and environmental factors as well as rent cap,Their usage and environmental factors as well as rent cap,London
2598,R_1JWT1XSCEMoTfzZ,I don't mind people,I don't mind people,London
2599,R_1Kg4EIsys1Tz4P9,"i voted for proposals which you benefit the less fortunate such as the working class, ethnic minorities and homeless people","I voted for proposals which you benefit the less fortunate such as the working class, ethnic minorities and homeless people",London
2600,R_1E0Se1PhCik1KG8,Not sure,Not sure,London
2601,R_DoAj8VQ5TEHvVzr,Grapes,,London
2602,R_26guil8YLEDNZJF,,,London
2603,R_2cqtfYALYOOpGcU,Adequate space and cost,Adequate space and cost,London
2604,R_2YJT6O9JLnSgEcB,Because I do I guess,Because I do I guess,London
2605,R_2PuIB7mIKxM6vpi,H,,London
2606,R_2AQMuMzsLxYzSk5,carbon neutral projects,carbon neutral projects,London
2607,R_1LZ6tNQuqmIY5Us,"The projects with the least population density. It is already a busy area, schools are over subscribed, doctors have long waiting lists. There isn't the infrastructure to cope with a population increase","The projects with the least population density. It is already a busy area, schools are oversubscribed, doctors have long waiting lists. There isn't the infrastructure to cope with a population increase",London
2608,R_3kHyjZPD71nwbie,Climate regulation ,Climate regulation ,London
2609,R_XtYAGc7lDfxp1fz,,,London
2610,R_1CampfR1EvFToq2,45,45,London
2611,R_paPwBVZrZUJj1Lj,It is changing ,It is changing ,London
2612,R_1ocF229fDmfLuw7,I think the proposals all had something very convincing about them,I think the proposals all had something very convincing about them,London
2613,R_1q8HMu0e5wCCfIl,,,London
2614,R_3NwSzpOLPe26NVk,,,London
2615,R_1kGrDnomrOP2wAS,How much more money we would be paying. ,How much more money we would be paying. ,London
2616,R_xghuNGiRwep3aBr,,,London
2617,R_1eDhnbSl7ncfImf,Agenda 21 and kalergi plan exposed,Agenda 21 and Kalergi Plan exposed,London
2618,R_1eM0R0ogTud2VyB,,,London
2619,R_VI1XUftqEvx5UDn,N/a,N/a,London
2620,R_1CIyChTguSa5sdT,It was alright ,It was alright ,London
2621,R_1EQ7nnFxNSJNKPn,,,London
2622,R_1HeLvCZ1AnIpKkf,In favour ,In favour ,London
2623,R_DuTbUTqIFELeeTD,5,5,London
2624,R_1oHk1YyoDQkGDMS,The control of the rent cost vs the factor of affordable housing available,The control of the rent cost vs the factor of affordable housing available,London
2625,R_1NCGqfXInbWjTg2,Ok,Ok,London
2626,R_1o5bOfdU2ZiERMA,No,No,London
2627,R_3RsjmuQaLpdsbhH,I think the community should have a say in decisions ,I think the community should have a say in decisions ,London
2628,R_3CWoEg5PY63kstu,,,London
2629,R_zT39QYKED7BeI01,,,London
2630,R_exHI8irZfbXYQox,Very happy,Very happy,London
2631,R_1hEet3HctnqmjMs,Involvement of residents in planning and implementation. Rent cap. The type of investors to reduce costs ,Involvement of residents in planning and implementation. Rent cap. The type of investors to reduce costs ,London
2632,R_3Ei1hfg66n91AXZ,,,London
2633,R_3Rw3Kd9nmGXDmTj,,,London
2634,R_1LpnLG32KJVNPMt,None,None,London
2635,R_1oA0mj4yjqOOmnk,,,London
2636,R_2f7MVbijHQKuXNE,,,London
2637,R_1QF5etzX2939P5q,Na,,London
2638,R_2pW9dcZFQOgkFGX,Because I like more of the things that the proposal I chose suggested,Because I like more of the things that the proposal I chose suggested,London
2639,R_32RYoqRr5eoQRHG,Better. ,Better. ,London
2640,R_25zlHdTtgy4RGMf,"I don't think I would have, but I like to give new things a try. ","I don't think I would have, but I like to give new things a try. ",London
2641,R_1n7OteDrYImAy5o,My choice ,My choice ,London
2642,R_1cYrtPem66MdJM7,i agreed with the proposals that placed the people in front of the proposal and helped them with their difficulties ,I agreed with the proposals that placed the people in front of the proposal and helped them with their difficulties ,London
2643,R_33BvgkGnAu2Uvxx,,,London
2644,R_1r1BbUgItmqvZfu,,,London
2645,R_1A3qDUEeyWFwq53,I believe that density may not be best for the environment in some cases ,I believe that density may not be best for the environment in some cases ,London
2646,R_2WBxsIJzL5EkXGa,Mi,,London
2647,R_3IQP1bxQ1dLKUWz,,,London
2648,R_9MIUjXkWJzwDXMZ,Climate change proposals and affordable housing should be much higher specially first time buyers!!!!!,Climate change proposals and affordable housing should be much higher especially first time buyers!!!!!,London
2649,R_25N1NUv9tczOgyt,Because I want there to still be fields ,Because I want there to still be fields ,London
2650,R_OxUSulUjZYHqalj,,,London
2651,R_3HNUfWAzNiHeKcO,"this is not a very rich neighbourhood, rent is important for most of the working class if it increases it may lead to problems. Global warming has become a great problem for us to be able to control this while making changes would benefit us all.","This is not a very rich neighbourhood, rent is important for most of the working class if it increases it may lead to problems. Global warming has become a great problem for us to be able to control this while making changes would benefit us all.",London
2652,R_1IKH07nFCguYF7j,It's just better and the price is what I'm most focused on,It's just better and the price is what I'm most focused on,London
2653,R_3psUOEviLeqv2L4,,,London
2654,R_2cbIrHFzKyiIKqD,Some had more benefits than others,Some had more benefits than others,London
2655,R_XLKu2axhxDTsqrf,Because it dose make sense ,Because it does make sense ,London
2656,R_1H2zbB97pM0deTI,I think that the price in London is extremely expensive either way both of the solutions keep increasing the prices more than they already are ,I think that the price in London is extremely expensive either way both of the solutions keep increasing the prices more than they already are ,London
2657,R_1jIFurIV9343UFz,Some are just more easier for others and sustainable,Some are just more easier for others and sustainable,London
2658,R_8bHGAEeNkpNHrNf,,,London
2659,R_2fdga2B43zQN4sC,Good,Good,London
2660,R_BEwP0IAtGrf7PdD,Idc,Idc,London
2661,R_1GPOG02vs9CeRyx,Mostly against as I want the best for my area however I feel as if these offers may be chnaged or may effect different individuals ,Mostly against as I want the best for my area however I feel as if these offers may be changed or may effect different individuals ,London
2662,R_BG2EXnpXtn8z4Bz,,,London
2663,R_3Cw4BEhK0Kzhuxj,Because I have different opinions to others,Because I have different opinions to others,London
2664,R_Tt0BW5V9qZcJoKR,,,London
2665,R_1rrlMIpC0EvXuqp,,,London
2666,R_3kpwqcA61kxctgV,,,London
2667,R_1rvx1QblQq7yXhy,rent in my borough and others such as ilford and barkingside is extremely high and hard to keep up with ,rent in my borough and others such as Ilford and Barkingside is extremely high and hard to keep up with ,London
2668,R_2izZrsXCNTTRJn3,,,London
2669,R_VUS3cUkG898YPK1,Depends ,Depends ,London
2670,R_DvsBkJvxoZwncWd,they are easier ,they are easier ,London
2671,R_3HNC3O9irqROn4U,gut feelings,gut feelings,London
2672,R_dmWjyr1ijGMwLG9,I can't do it,I can't do it,London
2673,R_29ukpFYwhr1c3Ic, , ,London
2674,R_1FQjpebnGurBAjA,,,London
2675,R_2YsNBi9KSrMQSM5,,,London
2676,R_0JrLixuTxb7cCTn,Commmunitu support and helping the environment is very important,Community support and helping the environment is very important,London
2677,R_7Pbtmi6FLRzoz7z,We are too populated already and rent controls are needed,We are too populated already and rent controls are needed,London
2678,R_TjA1ZvUAbV5hmYF,No thanks broski ,No thanks broski ,London
2679,R_21aBo48V1oAsc93,,,London
2680,R_2P6wcOYy8LXYnsQ,I went against some options because they seem kinda racial profiling ,I went against some options because they seem kinda racial profiling ,London
2681,R_2y89txXxuHO2EFi,100% increase density is too much and there should be some climate goals set,100% increase density is too much and there should be some climate goals set,London
2682,R_2ATE7V2OOq730OV,Ho,,London
2683,R_23fLquybthEEzpo,Depends of the various alternative proposed,Depends of the various alternatives proposed,London
2684,R_1I5EQTmhVOgKt11,some of them are so bad the price and density increase,some of them are so bad the price and density increase,London
2685,R_2S194hju93F5XZk,Its a neutral in my opinion ,Its a neutral in my opinion ,London
2686,R_tPpaLwRNoiUJvzz,"Some proposals have certain disadvantages for poorer families and we need to be inclusive of everyone, homelessness is a major issue in today's economy so we should be helping people to survive in a capitalist economy ","Some proposals have certain disadvantages for poorer families and we need to be inclusive of everyone, homelessness is a major issue in today's economy so we should be helping people to survive in a capitalist economy ",London
2687,R_1GPl7AuNE1Hky8C,Because I think that this needs a change ,Because I think that this needs a change ,London
2688,R_1PbgN8ZoRcE6AM8,,,London
2689,R_2z9006FNQhiC6Xq,Two was just better that one,Two was just better that one,London
2690,R_2DULBnLqnIxATkp,"I live really close to Stratford and I know what does it mean the process of gentrification. This includes moving poorer people more out of the city, increases prices in the area and rather than actively contributing to interaction at the community level aims at having for consumers in a smaller area","I live really close to Stratford and I know what does it mean the process of gentrification. This includes moving poorer people more out of the city, increases prices in the area and rather than actively contributing to interaction at the community level aims at having for consumers in a smaller area",London
2691,R_1Nhbw9EsslZovr3,"I care a lot about the climate and betterment in the world,",I care a lot about the climate and betterment in the world,London
2692,R_3F4COKLDOZ4A9SA,level of density,level of density,London
2693,R_3NxHuKrCQMaNcOC,Based on impact on community ,Based on impact on community ,London
2694,R_3aOaGvFIgPg56sp,They seem helpful,They seem helpful,London
2695,R_3JszrLSK9Kex52S,I think they are reasonable ,I think they are reasonable ,London
2696,R_2ZIfuiVEXOB11GC,Rent is already sky high...there is nothing to stop greedy landlords etc...the only way is to move out from London,Rent is already sky high...there is nothing to stop greedy landlords etc...the only way is to move out from London,London
2697,R_2E0LuUGb5VCmdbh,It would benefit the whole community ,It would benefit the whole community ,London
2698,R_26gM28cVUcKZJS3,I didn't like how some of the proposal plans looks. ,I didn't like how some of the proposal plans look,London
2699,R_oXlJ6Ueyxs6Jmmd,,,London
2700,R_1eQOnDGEUrXbWxM,No,No,London
2701,R_2Cw8VYKXU03AnjR,These things are imp for good neighbourhood ,These things are important for good neighbourhood ,London
2702,R_2U0k1svhOIxyLar,because I want fairness in prices of rent and more diversity.,because I want fairness in prices of rent and more diversity.,London
2703,R_233tmXLTqcz88B4,Always in favour of non profit and giving information to residents and public,Always in favour of non profit and giving information to residents and public,London
2704,R_uyQjbTeoygTv8CB,Anything with no rent control was not acceptable to me,Anything with no rent control was not acceptable to me,London
2705,R_UT53P33ndveKiZj,People in the neighbourhood don't have a lot of money so we have to keep their best interests in mind.,People in the neighbourhood don't have a lot of money so we have to keep their best interests in mind.,London
2706,R_3fBOz1IAKK5GeNL,,,London
2707,R_bCoqlMatvJKIl45,Sometimes it's not right,Sometimes it's not right,London
2708,R_3MLGp9JeVntk2vl,No more loss of greenery,No more loss of greenery,London
2709,R_22DglXFSCockdRG,,,London
2710,R_1NmnmchHy8eKDuW,no more flats,no more flats,London
2711,R_3jT0pNfE2Duc3T3,Some of them are cheats and unreliable ,Some of them are cheats and unreliable ,London
2712,R_1dGJBBnAFfrhW5S,,,London
2713,R_3JCpUO4kdYzEsol,,,London
2714,R_2OHpfeBUx0DO69r,,,London
2715,R_2rJFAASGASZWw9w,,,London
2716,R_2YV64W81v357h7n,,,London
2717,R_1Ca2QSvDCphiMN7,Ok,Ok,London
2718,R_1FxK1cJtDtz3SzJ,We should not increase rent,We should not increase rent,London
2719,R_3LYfO6Bt4HS1elm,,,London
2720,R_2ZVse9WMuqfZynM,Against massive increase in density although accept the need to build more houses Concern with increase level of less well off people in the area and effect on crime and increase in ethnic minorities ,Against massive increase in density although accept the need to build more houses. Concern with increase level of less well off people in the area and effect on crime and increase in ethnic minorities ,London
2721,R_2E19J0nfEsw99Hq,Interested ,Interested ,London
2722,R_3n2vgpF1qmjipyy,The increase of 20% is the maximum increase because there will be problem over 20%.,The increase of 20% is the maximum increase because there will be problem over 20%.,London
2723,R_2b0GFYwEamfVDwR,Rent cap,Rent cap,London
2724,R_3hg286n00L4LmOt,I dont know,I dont know,London
2725,R_Qg3lMG74l1X6gvf,Climate change ,Climate change ,London
2726,R_1JDFKzKupmctw5W,,,London
2727,R_Tc83NpasEdp76Q9,I donf think it's suitable for our community ,I don�t think it's suitable for our community ,London
2728,R_x3lbWRP57kfB0J3,In favour ,In favour ,London
2729,R_1BOQMnVo9SjTPKS,they work better for me and my environment ,they work better for me and my environment ,London
2730,R_1NgopvmGMTQuuYq,,,London
2731,R_3rNYBkP3GszAgI9,Not in favour of projects that add substantially to densification of a quiet residential neighbourhood. New dev's must be carbon-neutral or carbon offset. ,Not in favour of projects that add substantially to densification of a quiet residential neighbourhood. New developments must be carbon-neutral or carbon offset. ,London
2732,R_TcogIIWSSZ2Z19D,I am wary of the area getting overpopulated and the pressure on existing local services be it NHS or sewerage,I am wary of the area getting overpopulated and the pressure on existing local services be it NHS or sewerage,London
2733,R_3GBPbw41pcI1tjF,no more notes.,no more notes.,London
2734,R_2fqgJNm2It564Ax, no ,no ,London
2735,R_rr1vyQAaDTd0shP,Climate neutral government funded,Climate neutral government funded,London
2736,R_2ypSCuw7CmtguKA,Hey how u doin ,,London
2737,R_2ustLBuUHdQuAQY,I am against rent controls. I support small businesses. I oppose mixing owner occupied property and council housing on same sites. Population density increase should not exceed 20%,I am against rent controls. I support small businesses. I oppose mixing owner occupied property and council housing on same sites. Population density increase should not exceed 20%,London
2738,R_2w6Ke0ZxYdZ4YtB,To make the place I live in a. Better place ,To make the place I live in a better place ,London
2739,R_2D0LSl4vQmF5A7n,,,London
2740,R_333a14JrMHrXPkf,decreased urban areas,decreased urban areas,London
2741,R_Ao0On54NY3lOtWh,,,London
2742,R_11hLlyWoqd29kTv,Becuase some are more expensive ,Because some are more expensive ,London
2743,R_10GaDyVpIywKjde,"Because my area needs more restaurant chains, cinemas etc","Because my area needs more restaurant chains, cinemas etc",London
2744,R_3s5OI3rpQntVMaN,No,No,London
2745,R_1KvjkxS6N342YUr,,,London
2746,R_2uP9BdIDBUDjUyM,'- thank u,Thank you ,London
2747,R_3FR7pcKOxp9Q74Q,,,London
2748,R_2TH0jIG35LroqvX,It's very important ,It's very important ,London
2749,R_2xRgPETtrQRZoJQ,,,London
2750,R_1l4vjQNuzOaFLZv,Because they were more profitable ,Because they were more profitable ,London
2751,R_2BaigOTjZFa6YDM,Nanakoqladmdalla,,London
2752,R_2uL0wpuI0BILvQN,Because everything is changing everything day ,Because everything is changing everything day ,London
2753,R_2dzFPGHzKgBfJBg,No,No,London
2754,R_21vWQSBViRWgGcD,,,London
2755,R_3HgZKa9wrll66b3,Best for me,Best for me,London
2756,R_1QbE3GHTh0vBykK,I dint line tune monthly increase ofc rent,I did not like the monthly increase of rent,London
2757,R_3h5bs5GpxEOLooz,,,London
2758,R_2sRrlKet8b6u1rp,,,London
2759,R_2E1ekzSvd8f9FUv,Because they seem good ,Because they seem good ,London
2760,R_3fPQo6Shs1qSkRA,I don't really know ,I don't really know ,London
2761,R_UFUUlVYsSMbVqvv,,,London
2762,R_7U6YpGJaGoW365r,some proposals would benefits local communities more and help with development ,some proposals would benefits local communities more and help with development ,London
2763,R_2rUzKTviKMcoVmZ,,,London
2764,R_1LvWvhf8Nqq0yKt,,,London
2765,R_9QzIJ2oQ4pN4aHf,Because that is what I prefer ,Because that is what I prefer ,London
2766,R_VL1Ewc8FOYpPefv,Hi wiv kabobs I. ,,London
2767,R_3x9N9cf7b7OdLYl,i'm not sure ,I'm not sure ,London
2768,R_2VL5lo66KOUsOg2,,,London
2769,R_AtwUBBb2iBilovT,,,London
2770,R_3FUV3JkmxFgPASj,,,London
2771,R_1C0YX2zzKF1v5QU,,,London
2772,R_3ewO2Lids350tjA,No not at all.,No not at all.,London
2773,R_1ePLYSLiFR6MfEd,Just do ,Just do ,London
2774,R_cSYeKQMw0zjYyoF,It wasn't for me,It wasn't for me,London
2775,R_3psA7SEkyuCBQDL,Overpopulation has become a serious problem in many countries and I wouldn't want to see it happen in my area,Overpopulation has become a serious problem in many countries and I wouldn't want to see it happen in my area,London
2776,R_3LXrE2HZqUwkUoL,,,London
2777,R_yNQMqSOcJRtd3CF,Prefer rent control and reduction of density ,Prefer rent control and reduction of density ,London
2778,R_1gd7dLetXL5T2Do,Some aren't the ones I rather ,Some aren't the ones I rather ,London
2779,R_1OGK7tC7bK4xE4W,l don't comprehend some proposals ,l don't comprehend some proposals ,London
2780,R_1BWNYvOdpvmvLTa,:),:),London
2781,R_37YwQeB9EsXgVCF,,,London
2782,R_3p3HKZhQgGqkr3M,No,No,London
